section,reference,display_title,depth,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
Section 405 Structural,405.2.1,[BS] 405.2.1 Repairs for Less Than Substantial Structural Damage,3,Wall|Beam|Column|Footing|Slab,Assembly (A)|Business (B)|Residential (R)|Institutional (I)|Mercantile (M),cd|ca,structural_design,structural_engineer,"Unless otherwise required by this section, for damage less than substantial structural damage, the damaged elements shall be permitted to be restored to their predamage condition."
Section 405 Structural,405.2.1.1,[BS] 405.2.1.1 Snow Damage,4,Roof|Slab|Beam|Column|Wall,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,structural_design,structural_engineer,"Structural components whose damage was caused by or related to snow load effects shall be repaired, replaced or altered to satisfy the requirements of Section 1608 of the International Building Code."
Section 405 Structural,405.2.2,[BS] 405.2.2 Disproportionate Earthquake Damage,3,Column|Wall|Beam|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R),sd|dd|cd,structural_design,structural_engineer,"A building assigned to Seismic Design Category D, E or F that has sustained disproportionate earthquake damage shall be subject to the requirements for buildings with substantial structural damage to vertical elements of the lateral force-resisting system."
Section 405 Structural,405.2.3,[BS] 405.2.3 Substantial Structural Damage to Vertical Elements of the Lateral Force-Resisting System,3,Wall|Column|Beam,Business (B)|Residential (R)|Assembly (A)|Institutional (I)|Educational (E),cd|ca,structural_design,structural_engineer,"A building that has sustained substantial structural damage to the vertical elements of its lateral force-resisting system shall be evaluated in accordance with Section 405.2.3.1, and either repaired in accordance with Section 405.2.3.2 or repaired and retrofitted in accordance with Section 405.2.3.3, depending on the results of the evaluation.Exceptions:Buildings assigned to Seismic Design Category A, B or C whose substantial structural damage was not caused by earthquake need not be evaluated or retrofitted for load combinations that include earthquake effects.One- and two-family dwellings need not be evaluated or retrofitted for load combinations that include earthquake effects."
Section 405 Structural,405.2.3.1,[BS] 405.2.3.1 Evaluation,4,Wall|Column|Footing|Slab|Beam,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,structural_design,structural_engineer,"The building shall be evaluated by a registered design professional, and the evaluation findings shall be submitted to the code official. The evaluation shall establish whether the lateral force-resisting system of the damaged building, including its foundation, if repaired to its predamage state, would comply with the provisions of the International Building Code for load combinations that include wind effects, and with Section 304.3.2 of this code."
Section 405 Structural,405.2.3.2,[BS] 405.2.3.2 Extent of Repair for Compliant Buildings,4,Wall|Slab|Roof|Column,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,assemblies_envelope,architect,"If the evaluation establishes that the building in its predamage condition complies with the provisions of Section 405.2.3.1, then the damaged elements shall be permitted to be restored to their predamage condition."
Section 405 Structural,405.2.3.3,[BS] 405.2.3.3 Extent of Repair for Noncompliant Buildings,4,Wall|Column|Beam|Footing|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,structural_design,structural_engineer,"If the evaluation does not establish that the lateral force-resisting system of the building in its predamage condition complies with the provisions of Section 405.2.3.1, then the lateral force-resisting system, and its foundation, shall be retrofitted to comply with the provisions of this section. The wind loads for the repair and retrofit shall be those required by the building code in effect at the time of original construction, unless the damage was caused by wind, in which case the wind loads shall be in accordance with the International Building Code. The seismic retrofit shall comply with Section 304.3.2 of this code, but the earthquake loads shall not be less than those required by the building code in effect at the time of original construction."
Section 405 Structural,405.2.4,[BS] 405.2.4 Substantial Structural Damage to Gravity Load-Carrying Components,3,Beam|Column|Footing|Slab|Wall,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer,"Gravity load-carrying components that have sustained substantial structural damage shall be retrofitted to comply with the applicable provisions for dead, live and snow loads in the International Building Code. Undamaged gravity load-carrying components, including undamaged foundation components, that receive dead, live or snow loads from retrofitted components shall also be retrofitted if required to comply with these design loads."
Section 405 Structural,405.2.4.1,[BS] 405.2.4.1 Lateral Force-Resisting Elements,4,Wall|Column|Beam|Slab,Residential (R)|Business (B)|Assembly (A),sd|dd|cd,structural_design,structural_engineer,"Regardless of the level of damage to vertical elements of the lateral force-resisting system, if substantial structural damage to gravity load-carrying components was caused primarily by wind or seismic effects, then the building shall be evaluated in accordance with Section 405.2.3.1 and, if noncompliant, retrofitted in accordance with Section 405.2.3.3.Exceptions: Buildings assigned to Seismic Design Category A, B or C whose substantial structural damage was not caused by earthquake need not be evaluated or retrofitted for load combinations that include earthquake effects.One- and two-family dwellings need not be evaluated or retrofitted for load combinations that include earthquake effects."
Section 405 Structural,405.2.5,[BS] 405.2.5 Substantial Structural Damage to Snow Load-Carrying Components,3,Roof|Beam|Slab|Column|Footing,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer,"Where substantial structural damage to any snow load-carrying components is caused by or related to snow load effects, any components required to carry snow loads on roof framing of similar construction shall be repaired, replaced or retrofitted to satisfy the requirements of Section 1608 of the International Building Code."
Section 405 Structural,405.2.6,[BS] 405.2.6 Flood Hazard Areas,3,Slab|Wall|Footing|Roof,Residential (R)|Business (B)|Assembly (A)|Storage (S),sd|dd|cd,site_planning,architect,"In flood hazard areas, buildings that have sustained substantial damage shall be brought into compliance with Section 1612 of the International Building Code or Section R306 of the International Residential Code, as applicable."
Chapter 4 Repairs,406,Section 406 Electrical,1,,,,none,none,
Section 406 Electrical,406.1,406.1 General,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,electrical_systems,electrical_engineer,Repairs to existing electrical wiring and equipment shall be in accordance with NFPA 70.
Section 406 Electrical,406.1.1,406.1.1 Reconditioned Electrical Equipment,3,BuildingElementProxy,Business (B)|Educational (E)|Factory and Industrial (F)|Institutional (I)|Mercantile (M),cd|ca,electrical_systems,electrical_engineer,Reconditioned electrical equipment shall comply with NFPA 70. Electrical equipment prohibited from being reconditioned by the applicable sections of NFPA 70 shall not be reconditioned unless permitted by NFPA 99.
Section 406 Electrical,406.1.2,406.1.2 Health Care Facilities,3,BuildingElementProxy,Institutional (I),cd|ca,electrical_systems,electrical_engineer,"Portions of electrical systems being repaired in Group I-2, ambulatory care facilities and outpatient clinics shall comply with NFPA 99 requirements for repairs."
Chapter 4 Repairs,407,Section 407 Mechanical,1,,,,none,none,
Section 407 Mechanical,407.1,407.1 General,2,BuildingElementProxy,Business (B)|Residential (R)|Institutional (I)|Assembly (A)|Mercantile (M),cd|ca,mechanical_systems,mechanical_engineer,Existing mechanical systems undergoing repair shall not make the building less complying than it was before the damaged occurred.
Section 407 Mechanical,407.2,407.2 Mechanical Draft Systems for Manually Fired Appliances and Fireplaces,2,Chimney|Wall,Assembly (A)|Residential (R)|Business (B),sd|dd|cd,mechanical_systems,mechanical_engineer,A mechanical draft system shall be permitted to be used with manually fired appliances and fireplaces where such a system complies with all of the following requirements:The mechanical draft device shall be listed and installed in accordance with the manufacturer's installation instructions.A device shall be installed that produces visible and audible warning upon failure of the mechanical draft device or loss of electrical power at any time that the mechanical draft device is turned on. This device shall be equipped with a battery backup if it receives power from the building wiring.A smoke detector shall be installed in the room with the appliance or fireplace. This device shall be equipped with a battery backup if it receives power from the building wiring.
Chapter 4 Repairs,408,Section 408 Plumbing,1,,,,none,none,
Section 408 Plumbing,408.1,408.1 Materials,2,PlumbingElement|Covering|Slab|Wall|Roof,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,plumbing_systems,mechanical_engineer,Plumbing materials and supplies shall not be used for repairs that are prohibited in the International Plumbing Code.
Section 408 Plumbing,408.2,408.2 Water Closet Replacement,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,plumbing_systems,architect,The maximum water consumption flow rates and quantities for all replaced water closets shall be 1.6 gallons (6 L) per flushing cycle.Exception: Blowout-design water closets [3.5 gallons (13 L) per flushing cycle].
Section 408 Plumbing,408.3,408.3 Health Care Facilities,2,BuildingElementProxy,Institutional (I),dd|cd|ca,mechanical_systems,mechanical_engineer,"Portions of medical gas systems being repaired in Group I-2, ambulatory care facilities and outpatient clinics shall comply with NFPA 99 requirements for repairs."
