section,reference,display_title,depth,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
Section 1502 Owner's Responsibility for Fire Protection,1502.2,[F] 1502.2 Site Safety Director,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,site_planning,owner,"The owner shall designate a person to be the site safety director. The site safety director shall be responsible for ensuring compliance with the site safety plan. The site safety director shall have the authority to enforce the provisions of this chapter and other provisions as necessary to secure the intent of this chapter. Where guard service is provided in accordance with the International Fire Code, the site safety director shall be responsible for the guard service."
Section 1502 Owner's Responsibility for Fire Protection,1502.3,[F] 1502.3 Daily Fire Safety Inspection,2,BuildingElementProxy|Door|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),ca,fire_protection_alarm_systems,fire_protection_engineer,"The site safety director shall be responsible for completion of a daily fire safety inspection at the project site. Each day, all building and outdoor areas shall be inspected to ensure compliance with the inspection list in this section. The results of each inspection shall be documented and maintained on-site until a certificate of occupancy has been issued. Documentation shall be immediately available on-site for inspection and review.Any contractors entering the site to perform hot work each day have been instructed in the hot work safety requirements in the International Fire Code, and hot work is performed only in areas approved by the site safety director.Temporary heating equipment is maintained away from combustible materials in accordance with the equipment manufacturer's instructions.Combustible debris, rubbish and waste material is removed from the building in areas where work is not being performed.Temporary wiring does not have exposed conductors.Flammable liquids and other hazardous materials are stored in locations that have been approved by the site safety director when not involved in work that is being performed.Fire apparatus access roads required by the International Fire Code are maintained clear of obstructions that reduce the width of the usable roadway to less than 20 feet (6096 mm).Fire hydrants are clearly visible from access roads and are not obstructed.The location of fire department connections to standpipe and in-service sprinkler systems are clearly identifiable from the access road and such connections are not obstructed.Standpipe systems are in service and continuous to the highest work floor, as specified in Section 1509.Portable fire extinguishers are available in locations required by Section 1507 and for roofing operations in accordance with the International Fire Code.Where a fire watch is required, fire watch records complying with the International Fire Code are up-to-date."
Section 1502 Owner's Responsibility for Fire Protection,1502.3.1,[F] 1502.3.1 Violations,3,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),ca,site_planning,owner,"Failure to properly conduct, document and maintain documentation required by this section shall constitute an unlawful act in accordance with Section 113.1 and shall result in the issuance of a notice of violation to the site safety director in accordance with Section 113.2. Upon the third offense, the code official is authorized to issue a stop work order in accordance with Section 114, and work shall not resume until satisfactory assurances of future compliance have been presented to and approved by the code official."
Chapter 15 Construction Safeguards,1503,Section 1503 Sanitary,1,,,,none,none,
Section 1503 Sanitary,1503.1,[BG] 1503.1 Facilities Required,2,BuildingElementProxy,Utility and Miscellaneous (U),cd|ca,plumbing_systems,architect,Sanitary facilities shall be provided during construction or demolition activities in accordance with the International Plumbing Code.
Chapter 15 Construction Safeguards,1504,Section 1504 Protection of Pedestrians,1,,,,none,none,
Section 1504 Protection of Pedestrians,1504.1,[BS] 1504.1 Protection of Pedestrians,2,Railing|Barrier|Covering,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),cd|ca,site_planning,architect,"Pedestrians shall be protected during construction and demolition activities as required by Sections 1504.1.1 through 1504.1.7 and Table 1504.1. Signs shall be provided to direct pedestrian traffic.TABLE 1504.1PROTECTION OF PEDESTRIANS HEIGHT OF CONSTRUCTION DISTANCE OF CONSTRUCTION TO LOT LINE TYPE OF PROTECTION REQUIRED 8 feet or less Less than 5 feet Construction railings 5 feet or more None More than 8 feet Less than 5 feet Barrier and covered walkway 5 feet or more, but not more than one-fourth the height of construction Barrier and covered walkway 5 feet or more, but between one-fourth and one-half the height of construction Barrier 5 feet or more, but exceeding one-half the height of construction None For SI: 1 foot = 304.8 mm."
Section 1504 Protection of Pedestrians,1504.1.1,[BS] 1504.1.1 Walkways,3,Slab|Pavement,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,site_planning,architect,"A walkway shall be provided for pedestrian travel in front of every construction and demolition site unless the applicable governing authority authorizes the sidewalk to be fenced or closed. A walkway shall be provided for pedestrian travel that leads from a building entrance or exit of an occupied structure to a public way. Walkways shall be of sufficient width to accommodate the pedestrian traffic, but shall be not less than 4 feet (1219 mm) in width. Walkways shall be provided with a durable walking surface and shall be accessible in accordance with Chapter 11 of the International Building Code. Walkways shall be designed to support all imposed loads and the design live load shall be not less than 150 pounds per square foot (psf) (7.2 kN/m2)."
Section 1504 Protection of Pedestrians,1504.1.2,[BS] 1504.1.2 Directional Barricades,3,BuildingElementProxy|Railing,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,site_planning,architect,Pedestrian traffic shall be protected by a directional barricade where the walkway extends into the street. The directional barricade shall be of sufficient size and construction to direct vehicular traffic away from the pedestrian path.
Section 1504 Protection of Pedestrians,1504.1.3,[BS] 1504.1.3 Construction Railings,3,Railing,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Utility and Miscellaneous (U),sd|dd|cd|ca,special_construction,architect,Construction railings shall be not less than 42 inches (1067 mm) in height and shall be sufficient to direct pedestrians around construction areas.
Section 1504 Protection of Pedestrians,1504.1.4,[BS] 1504.1.4 Barriers,3,Wall|Door|BuildingElementProxy,Utility and Miscellaneous (U),sd|dd|cd,site_planning,architect,Barriers shall be not less than 8 feet (2438 mm) in height and shall be placed on the side of the walkway nearest the construction. Barriers shall extend the entire length of the construction site. Openings in such barriers shall be protected by doors that are normally kept closed.
Section 1504 Protection of Pedestrians,1504.1.4.1,[BS] 1504.1.4.1 Barrier Design,4,Wall,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,structural_design,architect,"Barriers shall be designed to resist loads required in Chapter 16 of the International Building Code unless constructed as follows: Barriers shall be provided with 2-inch by 4-inch (51 mm by 102 mm) top and bottom plates. The barrier material shall be boards not less than 3/4 inch (19.1 mm) in thickness or wood structural use panels not less than 1/4 inch (6.4 mm) in thickness. Wood structural use panels shall be bonded with an adhesive identical to that for exterior wood structural use panels. Wood structural use panels 1/4 inch (6.4 mm) or 5/16 inch (7.9 mm) in thickness shall have studs spaced not more than 2 feet (610 mm) on center. Wood structural use panels 3/8 inch (9.5 mm) or 1/2 inch (12.7 mm) in thickness shall have studs spaced not more than 4 feet (1219 mm) on center, provided that a 2-inch by 4-inch (51 mm by 102 mm) stiffener is placed horizontally at mid-height where the stud spacing is greater than 2 feet (610 mm) on center. Wood structural use panels 5/8 inch (15.9 mm) or thicker shall not span over 8 feet (2438 mm)."
Section 1504 Protection of Pedestrians,1504.1.5,[BS] 1504.1.5 Covered Walkways,3,Roof|Slab|Column|Footing|Beam,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,special_construction,architect,"Covered walkways shall have a clear height of not less than 8 feet (2438 mm) as measured from the floor surface to the canopy overhead. Adequate lighting shall be provided at all times. Covered walkways shall be designed to support all imposed loads. The design live load shall be not less than 150 psf (7.2 kN/m2) for the entire structure.Exception: Roofs and supporting structures of covered walkways for new, light-frame construction not exceeding two stories above grade plane are permitted to be designed for a live load of 75 psf (3.6 kN/m2) or the loads imposed on them, whichever is greater. In lieu of such designs, the roof and supporting structure of a covered walkway are permitted to be constructed as follows:Footings shall be continuous 2-inch by 6-inch (51 mm by 152 mm) members.Posts not less than 4 inches by 6 inches (102 mm by 152 mm) shall be provided on both sides of the roof and spaced not more than 12 feet (3658 mm) on center.Stringers not less than 4 inches by 12 inches (102 mm by 305 mm) shall be placed on edge on the posts.Joists resting on the stringers shall be not less than 2 inches by 8 inches (51 mm by 203 mm) and shall be spaced not more than 2 feet (610 mm) on center.The deck shall be planks not less than 2 inches (51 mm) thick or wood structural panels with an exterior exposure durability classification not less than 23/32 inch (18.3 mm) thick nailed to the joists.Each post shall be knee-braced to joists and stringers by members not less than 2 inches by 4 inches (51 mm by 102 mm); 4 feet (1219 mm) in length.A curb that is not less than 2 inches by 4 inches (51 mm by 102 mm) shall be set on edge along the outside edge of the deck."
Section 1504 Protection of Pedestrians,1504.1.6,"[BS] 1504.1.6 Repair, Maintenance and Removal",3,Pavement|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Mercantile (M),cd|ca,site_planning,owner,"Pedestrian protection required by Section 1504.1 shall be maintained in place and kept in good order for the entire length of time pedestrians are subject to being endangered. The owner or the owner's authorized agent, on completion of the construction activity, shall immediately remove walkways, debris and other obstructions and leave such public property in as good a condition as it was before such work was commenced."
Section 1504 Protection of Pedestrians,1504.1.7,[BS] 1504.1.7 Adjacent to Excavations,3,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Mercantile (M),sd|dd|cd,site_planning,architect,"Every excavation on a site located 5 feet (1524 mm) or less from the street lot line shall be enclosed with a barrier not less than 6 feet (1829 mm) in height. Where located more than 5 feet (1524 mm) from the street lot line, a barrier shall be erected where required by the code official. Barriers shall be of adequate strength to resist wind pressure as specified in Chapter 16 of the International Building Code."
Chapter 15 Construction Safeguards,1505,Section 1505 Protection of Adjoining Property,1,,,,none,none,
Section 1505 Protection of Adjoining Property,1505.1,[BS] 1505.1 Protection Required,2,Footing|Foundation|Wall|Chimney|Roof,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),cd|ca,site_planning,architect,"Adjoining public and private property shall be protected from damage during construction and demolition work. Protection must be provided for footings, foundations, party walls, chimneys, skylights and roofs. Provisions shall be made to control water runoff and erosion during construction or demolition activities. The person making or causing an excavation to be made shall provide written notice to the owners of adjoining buildings advising them that the excavation is to be made and that the adjoining buildings should be protected. Said notification shall be delivered not less than 10 days prior to the scheduled starting date of the excavation."
Section 1505 Protection of Adjoining Property,1505.2,[BS] 1505.2 Excavation Retention Systems,2,DeepFoundation|Wall|EarthworksElement,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer,"Where a retention system is used to provide support of an excavation for protection of adjacent structures, the system shall conform to the requirements in Section 1505.2.1 through 1505.2.3."
Section 1505 Protection of Adjoining Property,1505.2.1,[BS] 1505.2.1 Excavation Retention System Design,3,EarthworksElement|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer,Excavation retention systems shall be designed by a registered design professional to provide vertical and lateral support.
Section 1505 Protection of Adjoining Property,1505.2.2,[BS] 1505.2.2 Excavation Retention System Monitoring,3,DeepFoundation|EarthworksElement|Wall,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,structural_design,structural_engineer,The retention system design shall include requirements for monitoring of the system and adjacent structures for horizontal and vertical movement.
Section 1505 Protection of Adjoining Property,1505.2.3,[BS] 1505.2.3 Retention System Removal,3,Wall|DeepFoundation|EarthworksElement|Slab,Business (B)|Residential (R)|Assembly (A),sd|dd|cd|ca,site_planning,civil_engineer,Elements of the system shall only be removed or decommissioned where adequate replacement support is provided by backfill or by the new structure. Removal or decommissioning shall be performed in such a manner that protects the adjacent property.
Chapter 15 Construction Safeguards,1506,"Section 1506 Temporary Use of Streets, Alleys and Public Property",1,,,,none,none,
"Section 1506 Temporary Use of Streets, Alleys and Public Property",1506.1,[BG] 1506.1 Storage and Handling of Materials,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,site_planning,civil_engineer,"The temporary use of streets or public property for the storage or handling of materials or equipment required for construction or demolition, and the protection provided to the public shall comply with the provisions of the applicable governing authority and this chapter."
"Section 1506 Temporary Use of Streets, Alleys and Public Property",1506.2,[BG] 1506.2 Obstructions,2,BuildingElementProxy|Pavement|Ramp,Assembly (A)|Business (B)|Mercantile (M)|Residential (R)|Utility and Miscellaneous (U),sd|dd|cd,site_planning,architect,"Construction materials and equipment shall not be placed or stored so as to obstruct access to fire hydrants, standpipes, fire or police alarm boxes, catch basins or manholes, nor shall such material or equipment be located within 20 feet (6096 mm) of a street intersection, or placed so as to obstruct normal observations of traffic signals or to hinder the use of public transit loading platforms."
"Section 1506 Temporary Use of Streets, Alleys and Public Property",1506.3,[BG] 1506.3 Utility Fixtures,2,Wall|Fence|BuildingElementProxy|Covering,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd|ca,site_planning,architect,"Building materials, fences, sheds or any obstruction of any kind shall not be placed so as to obstruct free approach to any fire hydrant, fire department connection, utility pole, manhole, fire alarm box or catch basin, or so as to interfere with the passage of water in the gutter. Protection against damage shall be provided to such utility fixtures during the progress of the work, but sight of them shall not be obstructed."
Chapter 15 Construction Safeguards,1507,Section 1507 Fire Extinguishers,1,,,,none,none,
Section 1507 Fire Extinguishers,1507.1,[F] 1507.1 Where Required,2,Stair|Storage|Slab|Wall,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Storage (S),cd|ca,fire_protection_alarm_systems,fire_protection_engineer,"Structures under construction, alteration or demolition shall be provided with not fewer than one approved portable fire extinguisher in accordance with Section 906 of the International Fire Code and sized for not less than ordinary hazard as follows:At each stairway on all floor levels where combustible materials have accumulated.In every storage and construction shed.Additional portable fire extinguishers shall be provided where special hazards exist, such as the storage and use of flammable and combustible liquids."
Section 1507 Fire Extinguishers,1507.2,[F] 1507.2 Fire Hazards,2,Wall|Roof|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),cd|ca,fire_protection_alarm_systems,fire_protection_engineer,The provisions of this code and of the International Fire Code shall be strictly observed to safeguard against all fire hazards attendant upon construction operations.
Chapter 15 Construction Safeguards,1508,Section 1508 Means of Egress,1,,,,none,none,
Section 1508 Means of Egress,1508.1,[BE] 1508.1 Stairways Required,2,Stair|StairFlight|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),cd|ca,means_of_egress,architect,"Where building construction exceeds 40 feet (12 192 mm) in height above the lowest level of fire department vehicle access, a temporary or permanent stairway shall be provided. As construction progresses, such stairway shall be extended to within one floor of the highest point of construction having secured decking or flooring."
Section 1508 Means of Egress,1508.2,[F] 1508.2 Maintenance of Means of Egress,2,Door|Stair|Ramp|RampFlight|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,means_of_egress,architect,"Means of egress and required accessible means of egress shall be maintained at all times during construction, demolition, remodeling or alterations and additions to any building.Exception: Existing means of egress need not be maintained where approved temporary means of egress and accessible means of egress systems and facilities are provided."
Chapter 15 Construction Safeguards,1509,Section 1509 Standpipes,1,,,,none,none,
Section 1509 Standpipes,1509.1,[F] 1509.1 Where Required,2,Stair|Slab|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,fire_protection_alarm_systems,fire_protection_engineer,"In buildings required to have standpipes by Section 905.3.1 of the International Building Code, not less than one standpipe shall be provided for use during construction. Such standpipes shall be installed prior to construction exceeding 40 feet (12 192 mm) in height above the lowest level of fire department vehicle access. Such standpipes shall be provided with fire department hose connections at locations adjacent to stairways, complying with Section 1508.1. As construction progresses, such standpipes shall be extended to within one floor of the highest point of construction having secured decking or flooring."
Section 1509 Standpipes,1509.2,[F] 1509.2 Buildings Being Demolished,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,fire_protection_alarm_systems,fire_protection_engineer,"Where a building or portion of a building is being demolished and a standpipe is existing within such a building, such standpipe shall be maintained in an operable condition so as to be available for use by the fire department. Such standpipe shall be demolished with the building but shall not be demolished more than one floor below the floor being demolished."
Section 1509 Standpipes,1509.3,[F] 1509.3 Detailed Requirements,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),dd|cd,fire_protection_alarm_systems,fire_protection_engineer,"Standpipes shall be installed in accordance with the provisions of Chapter 9 of the International Building Code.Exception: Standpipes shall be either temporary or permanent in nature, and with or without a water supply, provided that such standpipes conform to the requirements of Section 905 of the International Building Code as to capacity, outlets and materials."
Chapter 15 Construction Safeguards,1510,Section 1510 Automatic Sprinkler System,1,,,,none,none,
Section 1510 Automatic Sprinkler System,1510.1,[F] 1510.1 Completion Before Occupancy,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),cd|ca,fire_protection_alarm_systems,fire_protection_engineer,"In buildings where an automatic sprinkler system is required by this code or the International Building Code, it shall be unlawful to occupy any portions of a building or structure until the automatic sprinkler system installation has been tested and approved, except as provided in Section 110.3."
Section 1510 Automatic Sprinkler System,1510.2,[F] 1510.2 Operation of Valves,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,fire_protection_alarm_systems,fire_protection_engineer,"Operation of sprinkler control valves shall be permitted only by properly authorized personnel and shall be accompanied by notification of duly designated parties. When the sprinkler protection is being regularly turned off and on to facilitate connection of newly completed segments, the sprinkler control valves shall be checked at the end of each work period to ascertain that protection is in service."
Chapter 15 Construction Safeguards,1511,Section 1511 Accessibility,1,,,,none,none,
Section 1511 Accessibility,1511.1,[BE] 1511.1 Construction Sites,2,BuildingElementProxy,Utility and Miscellaneous (U),cd|ca,accessibility,architect,"Structures, sites and equipment directly associated with the actual process of construction, including, but not limited to, scaffolding, bridging, material hoists, material storage or construction trailers, are not required to be accessible."
Chapter 15 Construction Safeguards,1512,Section 1512 Water Supply for Fire Protection,1,,,,none,none,
Section 1512 Water Supply for Fire Protection,1512.1,[F] 1512.1 When Required,2,BuildingElementProxy|Wall|Column|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,fire_protection_alarm_systems,fire_protection_engineer,"An approved water supply for fire protection, either temporary or permanent, shall be made available as soon as combustible building material arrives on the site, on commencement of vertical combustible construction, and on installation of a standpipe system in buildings under construction, in accordance with Sections 1512.1 through 1512.5.Exception: The fire code official is authorized to reduce the fire-flow requirements for isolated buildings or a group of buildings in rural areas or small communities where the development of full fire-flow requirements is impractical."
Section 1512 Water Supply for Fire Protection,1512.2,[F] 1512.2 Combustible Building Materials,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,fire_protection_alarm_systems,fire_protection_engineer,"When combustible building materials of the building under construction are delivered to a site, a minimum fire flow of 500 gallons per minute (1893 L/m) shall be provided. The fire hydrant used to provide this fire flow supply shall be within 500 feet (152 m) of the combustible building materials as measured along an approved fire apparatus access lane. Where the site configuration is such that one fire hydrant cannot be located within 500 feet (152 m) of all combustible building materials, additional fire hydrants shall be required to provide coverage in accordance with this section."
Section 1512 Water Supply for Fire Protection,1512.3,"[F] 1512.3 Vertical Construction of Types III, IV and V Construction",2,Wall|Column|Slab|Roof|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,fire_protection_alarm_systems,fire_protection_engineer,"Prior to commencement of vertical construction of Type III, IV or V buildings that utilize any combustible building materials, the fire flow required by Sections 1512.3.1 through 1512.3.3 shall be provided, accompanied by fire hydrants in sufficient quantity to deliver the required fire flow and proper coverage."
Section 1512 Water Supply for Fire Protection,1512.3.1,[F] 1512.3.1 Fire Separation Up to 30 Feet,3,Wall|BuildingElementProxy|Roof,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,fire_protection_alarm_systems,fire_protection_engineer,"Where a building of Type III, IV or V construction has a fire separation distance of less than 30 feet (9144 mm) from property lot lines, and an adjacent property has an existing structure or otherwise can be built on, the water supply shall provide either a minimum of 500 gallons per minute (1893 L/m), or the entire fire flow required for the building when constructed, whichever is greater."
Section 1512 Water Supply for Fire Protection,1512.3.2,[F] 1512.3.2 Fire Separation of 30 Feet Up to 60 Feet,3,Wall|Roof|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,fire_protection_alarm_systems,fire_protection_engineer,"Where a building of Type III, IV or V construction has a fire separation distance of 30 feet (9144 mm) up to 60 feet (18 288 mm) from property lot lines, and an adjacent property has an existing structure or otherwise can be constructed upon, the water supply shall provide a minimum of 500 gallons per minute (1893 L/m), or 50 percent of the fire flow required for the building when constructed, whichever is greater."
Section 1512 Water Supply for Fire Protection,1512.3.3,[F] 1512.3.3 Fire Separation of 60 Feet or Greater,3,Wall|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,fire_protection_alarm_systems,fire_protection_engineer,"Where a building of Type III, IV or V construction has a fire separation of 60 feet (18 288 mm) or greater from a property lot line, a water supply of 500 gallons per minute (1893 L/m) shall be provided."
Section 1512 Water Supply for Fire Protection,1512.4,"[F] 1512.4 Vertical Construction, Types I and II Construction",2,Wall|Column|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),cd|ca,fire_protection_alarm_systems,fire_protection_engineer,"If combustible construction materials are delivered to the construction site, water supply in accordance with Section 1509.2 shall be provided. Additional water supply for fire flow is not required prior to commencing vertical construction of Type I and II buildings."
Section 1512 Water Supply for Fire Protection,1512.5,[F] 1512.5 Standpipe Supply,2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Institutional (I),sd|dd|cd,fire_protection_alarm_systems,fire_protection_engineer,"Regardless of the presence of combustible building materials, the construction type or the fire separation distance, where a standpipe is required in accordance with Section 1509, a water supply providing a minimum flow of 500 gallons per minute (1893 L/m) shall be provided. The fire hydrant used for this water supply shall be located within 100 feet (30 480 mm) of the fire department connection supplying the standpipe."
