section,reference,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
202 Existing Buildings and Facilities,202.1,General,Additions and alterations to existing buildings or facilities shall comply with 202.,"['Wall', 'Door', 'Window', 'Stair', 'Ramp']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Factory and Industrial (F)', 'High Hazard (H)']","['sd', 'dd', 'cd']",accessibility,architect
202 Existing Buildings and Facilities,202.2,Additions,Each addition to an existing building or facility shall comply with the requirements for new construction. Each addition that affects or could affect the usability of or access to an area containing a primary function shall comply with 202.4.,"['Wall', 'Slab', 'Roof', 'Door', 'Window']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Residential (R)', 'Mercantile (M)']","['sd', 'dd', 'cd']",accessibility,architect
202 Existing Buildings and Facilities,202.3,Alterations,"Where existing elements or spaces are altered, each altered element or space shall comply with the applicable requirements of Chapter 2.","['Wall', 'Door', 'Window', 'Slab', 'Roof']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Factory and Industrial (F)', 'Residential (R)']","['sd', 'dd', 'cd']",occupancy_classification,architect
202 Existing Buildings and Facilities,202.3.1,Prohibited Reduction in Access,An alteration that decreases or has the effect of decreasing the accessibility of a building or facility below the requirements for new construction at the time of the alteration is prohibited.,"['Door', 'Ramp', 'Stair', 'Elevator', 'Slab']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
202 Existing Buildings and Facilities,202.3.2,Extent of Application,"An alteration of an existing element, space, or area of a building or facility shall not impose a requirement for accessibility greater than required for new construction.","['Wall', 'Door', 'Ramp', 'Stair', 'Window']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Residential (R)', 'Mercantile (M)']","['sd', 'dd', 'cd']",accessibility,architect
202 Existing Buildings and Facilities,202.4,Alterations Affecting Primary Function Areas,"In addition to the requirements of 202.3, an alteration that affects or could affect the usability of or access to an area containing a primary function shall be made so as to ensure that, to the maximum extent feasible, the path of travel to the altered area, including the rest rooms, telephones, and drinking fountains serving the altered area, are readily accessible to and usable by individuals with disabilities, unless such alterations are disproportionate to the overall alterations in terms of cost and scope as determined under criteria established by the Attorney General. In existing transportation facilities, an area of primary function shall be as defined under regulations published by the Secretary of the Department of Transportation or the Attorney General.","['Door', 'Ramp', 'Stair', 'Elevator', 'Slab']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Mercantile (M)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
202 Existing Buildings and Facilities,202.5,Alterations to Qualified Historic Buildings and Facilities,Alterations to a qualified historic building or facility shall comply with 202.3 and 202.4.,"['Wall', 'Door', 'Window', 'Roof', 'Slab']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
203 General Exceptions,203.1,General,"Sites, buildings, facilities, and elements are exempt from these requirements to the extent specified by 203.",['BuildingElementProxy'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Factory and Industrial (F)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
203 General Exceptions,203.2,Construction Sites,"Structures and sites directly associated with the actual processes of construction, including but not limited to, scaffolding, bridging, materials hoists, materials storage, and construction trailers shall not be required to comply with these requirements or to be on an accessible route. Portable toilet units provided for use exclusively by construction personnel on a construction site shall not be required to comply with 213 or to be on an accessible route.",['BuildingElementProxy'],['Utility and Miscellaneous (U)'],"['cd', 'ca']",accessibility,architect
203 General Exceptions,203.3,Raised Areas,"Areas raised primarily for purposes of security, life safety, or fire safety, including but not limited to, observation or lookout galleries, prison guard towers, fire towers, or life guard stands shall not be required to comply with these requirements or to be on an accessible route.","['Stair', 'Ramp', 'BuildingElementProxy']","['Institutional (I)', 'Assembly (A)']","['sd', 'dd', 'cd']",accessibility,architect
203 General Exceptions,203.4,Limited Access Spaces,"Spaces accessed only by ladders, catwalks, crawl spaces, or very narrow passageways shall not be required to comply with these requirements or to be on an accessible route.","['Stair', 'Ramp', 'RampFlight', 'Slab']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Factory and Industrial (F)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
203 General Exceptions,203.5,Machinery Spaces,"Spaces frequented only by service personnel for maintenance, repair, or occasional monitoring of equipment shall not be required to comply with these requirements or to be on an accessible route. Machinery spaces include, but are not limited to, elevator pits or elevator penthouses; mechanical, electrical or communications equipment rooms; piping or equipment catwalks; water or sewage treatment pump rooms and stations; electric substations and transformer vaults; and highway and tunnel utility facilities.","['BuildingElementProxy', 'Slab', 'Door', 'Elevator', 'Wall']","['Business (B)', 'Factory and Industrial (F)', 'Utility and Miscellaneous (U)']","['sd', 'dd', 'cd']",accessibility,architect
203 General Exceptions,203.6,Single Occupant Structures,"Single occupant structures accessed only by passageways below grade or elevated above standard curb height, including but not limited to, toll booths that are accessed only by underground tunnels, shall not be required to comply with these requirements or to be on an accessible route.","['BuildingElementProxy', 'Door', 'Ramp', 'Stair', 'Slab']",['Utility and Miscellaneous (U)'],"['sd', 'dd', 'cd']",accessibility,architect
203 General Exceptions,203.7,Detention and Correctional Facilities,"In detention and correctional facilities, common use areas that are used only by inmates or detainees and security personnel and that do not serve holding cells or housing cells required to comply with 232, shall not be required to comply with these requirements or to be on an accessible route.","['Door', 'Wall', 'BuildingElementProxy']",['Institutional (I)'],"['sd', 'dd', 'cd']",accessibility,architect
203 General Exceptions,203.8,Residential Facilities,"In residential facilities, common use areas that do not serve residential dwelling units required to provide mobility features complying with 809.2 through 809.4 shall not be required to comply with these requirements or to be on an accessible route.","['Door', 'Ramp', 'Stair', 'Slab', 'Wall']",['Residential (R)'],"['sd', 'dd', 'cd']",accessibility,architect
203 General Exceptions,203.9,Employee Work Areas,"Spaces and elements within employee work areas shall only be required to comply with 206.2.8, 207.1, and 215.3 and shall be designed and constructed so that individuals with disabilities can approach, enter, and exit the employee work area. Employee work areas, or portions of employee work areas, other than raised courtroom stations, that are less than 300 square feet (28 m2) and elevated 7 inches (180 mm) or more above the finish floor or ground where the elevation is essential to the function of the space shall not be required to comply with these requirements or to be on an accessible route.","['Door', 'Ramp', 'RampFlight', 'Stair', 'Slab']","['Business (B)', 'Assembly (A)', 'Mercantile (M)']","['sd', 'dd', 'cd']",accessibility,architect
203 General Exceptions,203.10,"Raised Refereeing, Judging, and Scoring Areas","Raised structures used solely for refereeing, judging, or scoring a sport shall not be required to comply with these requirements or to be on an accessible route.","['Slab', 'Stair', 'Ramp', 'Rail', 'BuildingElementProxy']",['Assembly (A)'],"['sd', 'dd', 'cd']",accessibility,architect
203 General Exceptions,203.11,Water Slides,Water slides shall not be required to comply with these requirements or to be on an accessible route.,['BuildingElementProxy'],['Assembly (A)'],"['sd', 'dd', 'cd']",accessibility,architect
203 General Exceptions,203.12,Animal Containment Areas,Animal containment areas that are not for public use shall not be required to comply with these requirements or to be on an accessible route.,"['Wall', 'Door', 'Slab']","['Utility and Miscellaneous (U)', 'Business (B)']","['sd', 'dd', 'cd']",accessibility,architect
203 General Exceptions,203.13,Raised Boxing or Wrestling Rings,Raised boxing or wrestling rings shall not be required to comply with these requirements or to be on an accessible route.,"['Slab', 'Stair', 'Ramp', 'BuildingElementProxy']",['Assembly (A)'],"['sd', 'dd', 'cd']",accessibility,architect
203 General Exceptions,203.14,Raised Diving Boards and Diving Platforms,Raised diving boards and diving platforms shall not be required to comply with these requirements or to be on an accessible route.,['BuildingElementProxy'],['Assembly (A)'],"['sd', 'dd', 'cd']",accessibility,architect
204 Protruding Objects,204.1,General,Protruding objects on circulation paths shall comply with 307.,"['Wall', 'Column', 'Door', 'Railing', 'Stair']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Residential (R)', 'Institutional (I)']","['sd', 'dd', 'cd']",accessibility,architect
205 Operable Parts,205.1,General,"Operable parts on accessible elements, accessible routes, and in accessible rooms and spaces shall comply with 309.","['Door', 'Window', 'Ramp', 'Stair', 'BuildingElementProxy']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Residential (R)', 'Mercantile (M)']","['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.1,General,Accessible routes shall be provided in accordance with 206 and shall comply with Chapter 4.,"['Door', 'Ramp', 'Stair', 'Slab', 'RampFlight']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Factory and Industrial (F)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.2,Where Required,Accessible routes shall be provided where required by 206.2.,"['Ramp', 'RampFlight', 'Stair', 'Door', 'Slab']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.2.1,Site Arrival Points,At least one accessible route shall be provided within the site from accessible parking spaces and accessible passenger loading zones; public streets and sidewalks; and public transportation stops to the accessible building or facility entrance they serve.,"['Ramp', 'Pavement', 'Door']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.2.2,Within a Site,"At least one accessible route shall connect accessible buildings, accessible facilities, accessible elements, and accessible spaces that are on the same site.","['Pavement', 'Ramp', 'Kerb']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Factory and Industrial (F)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.2.3,Multi-Story Buildings and Facilities,At least one accessible route shall connect each story and mezzanine in multi-story buildings and facilities.,"['Ramp', 'Stair', 'Elevator', 'Door']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.2.3.1,Stairs and Escalators in Existing Buildings,"In alterations and additions, where an escalator or stair is provided where none existed previously and major structural modifications are necessary for the installation, an accessible route shall be provided between the levels served by the escalator or stair unless exempted by 206.2.3 Exceptions 1 through 7.","['Stair', 'Ramp', 'Elevator']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Residential (R)', 'Institutional (I)']","['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.2.4,Spaces and Elements,At least one accessible route shall connect accessible building or facility entrances with all accessible spaces and elements within the building or facility which are otherwise connected by a circulation path unless exempted by 206.2.3 Exceptions 1 through 7.,"['Door', 'Ramp', 'Stair', 'Corridor', 'Entrance']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Factory and Industrial (F)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.2.5,Restaurants and Cafeterias,"In restaurants and cafeterias, an accessible route shall be provided to all dining areas, including raised or sunken dining areas, and outdoor dining areas.","['Ramp', 'Stair', 'Door', 'Slab']",['Assembly (A)'],"['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.2.6,Performance Areas,"Where a circulation path directly connects a performance area to an assembly seating area, an accessible route shall directly connect the assembly seating area with the performance area. An accessible route shall be provided from performance areas to ancillary areas or facilities used by performers unless exempted by 206.2.3 Exceptions 1 through 7.","['Ramp', 'Stair', 'Door', 'Slab', 'Wall']",['Assembly (A)'],"['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.2.7,Press Boxes,Press boxes in assembly areas shall be on an accessible route.,"['BuildingElementProxy', 'Ramp', 'Stair', 'Door']",['Assembly (A)'],"['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.2.8,Employee Work Areas,Common use circulation paths within employee work areas shall comply with 402.,"['Slab', 'Wall', 'Door']","['Business (B)', 'Educational (E)', 'Factory and Industrial (F)', 'Institutional (I)', 'Mercantile (M)']","['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.2.9,Amusement Rides,Amusement rides required to comply with 234 shall provide accessible routes in accordance with 206.2.9. Accessible routes serving amusement rides shall comply with Chapter 4 except as modified by 1002.2.,"['Ramp', 'RampFlight', 'Stair', 'Slab', 'BuildingElementProxy']",['Assembly (A)'],"['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.2.9.1,Load and Unload Areas,"Load and unload areas shall be on an accessible route. Where load and unload areas have more than one loading or unloading position, at least one loading and unloading position shall be on an accessible route.","['Pavement', 'Ramp', 'Slab', 'Door']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Mercantile (M)']","['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.2.9.2,"Wheelchair Spaces, Ride Seats Designed for Transfer, and Transfer Devices","When amusement rides are in the load and unload position, wheelchair spaces complying with 1002.4, amusement ride seats designed for transfer complying with 1002.5, and transfer devices complying with 1002.6 shall be on an accessible route.","['Ramp', 'Slab', 'BuildingElementProxy']",['Assembly (A)'],"['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.2.10,Recreational Boating Facilities,"Boat slips required to comply with 235.2 and boarding piers at boat launch ramps required to comply with 235.3 shall be on an accessible route. Accessible routes serving recreational boating facilities shall comply with Chapter 4, except as modified by 1003.2.","['Ramp', 'Pavement', 'BuildingElementProxy']","['Assembly (A)', 'Utility and Miscellaneous (U)']","['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.2.11,Bowling Lanes,"Where bowling lanes are provided, at least 5 percent, but no fewer than one of each type of bowling lane, shall be on an accessible route.","['BuildingElementProxy', 'Ramp', 'RampFlight', 'Door', 'Slab']",['Assembly (A)'],"['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.2.12,Court Sports,"In court sports, at least one accessible route shall directly connect both sides of the court.","['Slab', 'Ramp', 'Stair', 'Railing', 'Door']",['Assembly (A)'],"['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.2.13,Exercise Machines and Equipment,Exercise machines and equipment required to comply with 236 shall be on an accessible route.,"['BuildingElementProxy', 'Slab', 'Ramp', 'Door']","['Assembly (A)', 'Business (B)', 'Institutional (I)', 'Educational (E)']","['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.2.14,Fishing Piers and Platforms,Fishing piers and platforms shall be on an accessible route. Accessible routes serving fishing piers and platforms shall comply with Chapter 4 except as modified by 1005.1.,"['Slab', 'Ramp', 'Railing', 'ShadingDevice', 'BuildingElementProxy']",['Assembly (A)'],"['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.2.15,Golf Facilities,"At least one accessible route shall connect accessible elements and spaces within the boundary of the golf course. In addition, accessible routes serving golf car rental areas; bag drop areas; course weather shelters complying with 238.2.3; course toilet rooms; and practice putting greens, practice teeing grounds, and teeing stations at driving ranges complying with 238.3 shall comply with Chapter 4 except as modified by 1006.2.","['Ramp', 'RampFlight', 'Slab', 'BuildingElementProxy']",['Assembly (A)'],"['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.2.16,Miniature Golf Facilities,"Holes required to comply with 239.2, including the start of play, shall be on an accessible route. Accessible routes serving miniature golf facilities shall comply with Chapter 4 except as modified by 1007.2.","['Slab', 'Ramp', 'Pavement']",['Assembly (A)'],"['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.2.17,Play Areas,Play areas shall provide accessible routes in accordance with 206.2.17. Accessible routes serving play areas shall comply with Chapter 4 except as modified by 1008.2.,"['Slab', 'Ramp', 'Stair', 'Pavement', 'BuildingElementProxy']","['Assembly (A)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.2.17.1,Ground Level and Elevated Play Components,"At least one accessible route shall be provided within the play area. The accessible route shall connect ground level play components required to comply with 240.2.1 and elevated play components required to comply with 240.2.2, including entry and exit points of the play components.","['Ramp', 'Slab', 'Stair', 'Covering']","['Assembly (A)', 'Educational (E)']","['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.2.17.2,Soft Contained Play Structures,"Where three or fewer entry points are provided for soft contained play structures, at least one entry point shall be on an accessible route. Where four or more entry points are provided for soft contained play structures, at least two entry points shall be on an accessible route.","['Door', 'Ramp', 'RampFlight', 'Slab']","['Assembly (A)', 'Educational (E)']","['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.3,Location,"Accessible routes shall coincide with or be located in the same area as general circulation paths. Where circulation paths are interior, required accessible routes shall also be interior.","['Ramp', 'Door', 'Stair', 'RampFlight', 'Slab']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.4,Entrances,"Entrances shall be provided in accordance with 206.4. Entrance doors, doorways, and gates shall comply with 404 and shall be on an accessible route complying with 402.","['Door', 'BuildingElementProxy']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Factory and Industrial (F)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.4.1,Public Entrances,"In addition to entrances required by 206.4.2 through 206.4.9, at least 60 percent of all public entrances shall comply with 404.","['Door', 'Wall']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Mercantile (M)']","['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.4.2,Parking Structure Entrances,"Where direct access is provided for pedestrians from a parking structure to a building or facility entrance, each direct access to the building or facility entrance shall comply with 404.","['Door', 'Ramp', 'Stair', 'Slab']","['Business (B)', 'Assembly (A)', 'Mercantile (M)', 'Residential (R)', 'Utility and Miscellaneous (U)']","['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.4.3,Entrances from Tunnels or Elevated Walkways,"Where direct access is provided for pedestrians from a pedestrian tunnel or elevated walkway to a building or facility, at least one direct entrance to the building or facility from each tunnel or walkway shall comply with 404.","['Door', 'Ramp', 'Stair', 'RampFlight', 'BuildingElementProxy']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.4.4,Transportation Facilities,"In addition to the requirements of 206.4.2, 206.4.3, and 206.4.5 through 206.4.9, transportation facilities shall provide entrances in accordance with 206.4.4.","['Door', 'Ramp', 'Stair', 'Slab']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Mercantile (M)']","['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.4.4.1,Location,"In transportation facilities, where different entrances serve different transportation fixed routes or groups of fixed routes, at least one public entrance serving each fixed route or group of fixed routes shall comply with 404.","['Door', 'BuildingElementProxy']",['Assembly (A)'],"['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.4.4.2,Direct Connections,Direct connections to other facilities shall provide an accessible route complying with 404 from the point of connection to boarding platforms and all transportation system elements required to be accessible. Any elements provided to facilitate future direct connections shall be on an accessible route connecting boarding platforms and all transportation system elements required to be accessible.,"['Ramp', 'Door', 'Stair', 'Slab', 'RampFlight']","['Assembly (A)', 'Business (B)', 'Utility and Miscellaneous (U)']","['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.4.4.3,Key Stations and Intercity Rail Stations,"Key stations and existing intercity rail stations required by Subpart C of 49 CFR part 37 to be altered, shall have at least one entrance complying with 404.","['Door', 'BuildingElementProxy']",['Assembly (A)'],"['sd', 'dd', 'cd']",accessibility,architect
206 Accessible Routes,206.4.5,Tenant Spaces,At least one accessible entrance to each tenancy in a facility shall comply with 404.,"['Door', 'Wall', 'Ramp']","['Assembly (A)', 'Business (B)', 'Mercantile (M)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
