id,section,reference,displayTitle,depth,body
3.307,Section 307 High-Hazard Group H,307.1.1,[F]  307.1.1 Occupancy Exemptions,3,"Storage, use and handling of hazardous materials in accordance with Table 307.1.1 shall not be counted as contributing to Maximum Allowable Quantities and shall not cause classification of an occupancy to be Group H. Such storage, use and handling shall comply with applicable provisions of the International Fire Code. TABLE 307.1.1 HAZARDOUS MATERIALS EXEMPTIONSa MATERIAL CLASSIFICATION OCCUPANCY OR APPLICATION EXEMPTION Combustible fiber Baled cotton Densely packed baled cotton shall not be classified as combustible fiber, provided that the bales comply with the packing requirements of ISO 8115. Corrosive Building materials The quantity of commonly used building materials that are classified as corrosive materials is not limited. Personal and household products The quantity of personal and household products that are classified as corrosive materials is not limited in retail displays, provided that the products are in original packaging. Retail and wholesale sales occupancies The quantity of medicines, foodstuffs or consumer products, and cosmetics containing not more than 50 percent by volume of water-miscible liquids, with the remainder of the solutions not being flammable, is not limited.To qualify for this allowance, such materials shall be packaged in individual containers not exceeding 1.3 gallons. Explosives Groups B, F, M and S Storage of special industrial explosive devices is not limited. Groups M and R-3 Storage of black powder, smokeless propellant and small arms primers is not limited. Flammable and combustible liquids and gases Aerosols Buildings and structures occupied for the storage of aerosol products, aerosol cooking spray products, or plastic aerosol 3 products shall be classified as Group S-1. Alcoholic beverages The quantity of alcoholic beverages in liquor stores and distributors without bulk storage is not limited. The quantity of alcoholic beverages in distilling or brewing of beverages is not limited. The storage quantity of beer, distilled spirits and wines in barrels and casks is not limited. The quantity of alcoholic beverages in retail and wholesale sales occupancies is not limited. To qualify for this allowance, beverages shall be packaged in individual containers not exceeding 1.3 gallons. Cleaning establishments with combustible liquid solvents The quantity of combustible liquid solvents used in closed systems and having a flash point at or above 140°F is not limited. To qualify for this allowance, equipment shall be listed by an approved testing agency and the occupancy shall be separated from all other areas of the building by 1-hour fire barriers constructed in accordance with Section 707 or 1-hour horizontal assemblies constructed in accordance with Section 711, or both The quantity of combustible liquid solvents having a flash point at or above 200°F is not limited. Closed piping systems The quantity of flammable and combustible liquids and gases utilized for the operation of machinery or equipment is not limited. Fuel The quantity of liquid or gaseous fuel in fuel tanks on vehicles or motorized equipment is not limited. The quantity of gaseous fuels in piping systems and fixed appliances regulated by the International Fuel Gas Code is not limited. The quantity of liquid fuels in piping systems and fixed appliances regulated by the International Mechanical Code is not limited. Flammable finishing operations using flammable and combustible liquids Buildings and structures occupied for the application of flammable finishes shall comply with Section 416. Fuel oil The quantity of fuel oil storage complying with Section 605.4.2 of the International Fire Code is not limited. Hand sanitizer The quantity of alcohol-based hand rubs (ABHR) classified as Class I or II liquids in dispensers installed in accordance with Sections 5705.5 and 5705.5.1 of the International Fire Code is not limited. The location of the ABHR dispensers shall be provided in the construction documents. Retail and wholesale sales occupancies with flammable and combustible liquids The quantity of medicines, foodstuffs or consumer products, and cosmetics containing not more than 50 percent by volume of water-miscible liquids, with the remainder of the solutions not being flammable, is not limited.To qualify for this allowance, such materials shall be packaged in individual containers not exceeding 1.3 gallons. Highly toxic and toxic materials Retail and wholesale sales occupancies The quantity of medicines, foodstuffs or consumer products, and cosmetics containing not more than 50 percent by volume of water-miscible liquids, with the remainder of the solutions not being flammable, is not limited.To qualify for this allowance, such materials shall be packaged in individual containers not exceeding 1.3 gallons. Any Agricultural materials The quantity of agricultural materials stored or utilized for agricultural purposes on the premises is not limited. Energy storage The quantity of hazardous materials in stationary storage battery systems is not limited. The quantity of hazardous materials in stationary fuel cell power systems is not limited. The quantity of hazardous materials in capacitor energy storage systems is not limited. Refrigeration Systems The quantity of refrigerants in refrigeration systems is not limited. For SI: 1 gallon = 3.785L, °C = (°F - 32)/1.8. Exempted materials and conditions listed in this table are required to comply with applicable provisions of the International Fire Code."
3.307,Section 307 High-Hazard Group H,307.2,[F]  307.2 Hazardous Materials,2,"Hazardous materials in any quantity shall conform to the requirements of this code, including Section 414 , and the International Fire Code."
3.307,Section 307 High-Hazard Group H,307.3,[F]  307.3 High-Hazard Group H-1,2,"Buildings and structures containing materials that pose a detonation hazard shall be classified as Group H-1. Such materials shall include, but not be limited to, the following:Detonable pyrophoric materialsExplosives:Division 1.1Division 1.2Division 1.3Division 1.4Division 1.5Division 1.6Organic peroxides, unclassified detonableOxidizers, Class 4Unstable (reactive) materials, Class 3 detonable and Class 4"
3.307,Section 307 High-Hazard Group H,307.3.1,[F]  307.3.1 Occupancies Containing Explosives Not Classified as H-1,3,"The following occupancies containing explosive materials shall be classified as follows:Division 1.3 explosive materials that are used and maintained in a form where either confinement or configuration will not elevate the hazard from a mass fire to mass explosion hazard shall be allowed in Group H-2 occupancies.Division 1.4 explosive materials shall be allowed in Group H-3 occupancies.Articles, including articles packaged for shipment, that are not regulated as a Division 1.4 explosive under Bureau of Alcohol, Tobacco, Firearms and Explosives regulations, or unpackaged articles used in process operations that do not propagate a detonation or deflagration between articles shall be allowed in Group H-3 occupancies."
3.307,Section 307 High-Hazard Group H,307.4,[F]  307.4 High-Hazard Group H-2,2,"Buildings and structures containing materials that pose a deflagration hazard or a hazard from accelerated burning shall be classified as Group H-2. Such materials shall include, but not be limited to, the following: Class I, II or IIIA flammable or combustible liquids that are used or stored in normally open containers or systems, or in closed containers or systems pressurized at more than 15 pounds per square inch gauge (103.4 kPa). Combustible dusts where manufactured, generated or used in such a manner that the concentration and conditions create a fire or explosion hazard based on information prepared in accordance with Section 414.1.3. Cryogenic fluids, flammable. Category 1A flammable gases. Category 1B flammable gases having a burning velocity greater than 3.9 inches per second (10 cm/s) Organic peroxides, Class I. Oxidizers, Class 3, that are used or stored in normally open containers or systems, or in closed containers or systems pressurized at more than 15 pounds per square inch gauge (103 kPa). Pyrophoric liquids, solids and gases, nondetonable. Unstable (reactive) materials, Class 3, nondetonable. Water-reactive materials, Class 3."
3.307,Section 307 High-Hazard Group H,307.5,[F]  307.5 High-Hazard Group H-3,2,"Buildings and structures containing materials that readily support combustion or that pose a physical hazard shall be classified as Group H-3. Such materials shall include, but not be limited to, the following:Class I, II or IIIA flammable or combustible liquids that are used or stored in normally closed containers or systems pressurized at 15 pounds per square inch gauge (103.4 kPa) or lessCombustible fibers, other than densely packed baled cotton, where manufactured, generated or used in such a manner that the concentration and conditions create a fire or explosion hazard based on information prepared in accordance with Section 414.1.3Consumer fireworks, 1.4G (Class C, Common)Cryogenic fluids, oxidizingCategory 1B flammable gases having a burning velocity of 3.9 inches per second (10 cm/s) or lessFlammable solidsOrganic peroxides, Class II and IIIOxidizers, Class 2Oxidizers, Class 3, that are used or stored in normally closed containers or systems pressurized at 15 pounds per square inch gauge (103 kPa) or lessOxidizing gasesUnstable (reactive) materials, Class 2Water-reactive materials, Class 2"
3.307,Section 307 High-Hazard Group H,307.6,[F]  307.6 High-Hazard Group H-4,2,"Buildings and structures containing materials that are health hazards shall be classified as Group H-4. Such materials shall include, but not be limited to, the following:CorrosivesHighly toxic materialsToxic materials"
3.307,Section 307 High-Hazard Group H,307.7,[F]  307.7 High-Hazard Group H-5,2,Semiconductor fabrication facilities and comparable research and development areas in which hazardous production materials (HPM) are used and the aggregate quantity of materials is in excess of those specified in Tables 307.1(1) and 307.1(2) shall be classified as Group H-5. Such facilities and areas shall be designed and constructed in accordance with Section 415.11.
3.307,Section 307 High-Hazard Group H,307.8,[F]  307.8 Multiple Hazards,2,"Buildings and structures containing a material or materials representing hazards that are classified in one or more of Groups H-1, H-2, H-3 and H-4 shall conform to the code requirements for each of the occupancies so classified."
3,Chapter 3 Occupancy Classification and Use,308,Section 308 Institutional Group I,1,
3.308,Section 308 Institutional Group I,308.1,308.1 Institutional Group I,2,"Institutional Group I occupancy includes, among others, the use of a building or structure, or a portion thereof, in which care or supervision is provided to persons who are or are incapable of self-preservation without physical assistance or in which persons are detained for penal or correctional purposes or in which the liberty of the occupants is restricted. Institutional occupancies shall be classified as Group I-1, I-2, I-3 or I-4."
3.308,Section 308 Institutional Group I,308.2,308.2 Institutional Group I-1,2,"Institutional Group I-1 occupancy shall include buildings, structures or portions thereof for more than 16 persons, excluding staff, who reside on a 24-hour basis in a supervised environment and receive custodial care. Buildings of Group I-1 shall be classified as one of the occupancy conditions specified in Section 308.2.1 or 308.2.2 and shall comply with Section 420. This group shall include, but not be limited to, the following:Alcohol and drug centersAssisted living facilitiesCongregate care facilitiesGroup homesHalfway housesResidential board and care facilitiesSocial rehabilitation facilities"
3.308,Section 308 Institutional Group I,308.2.1,308.2.1 Condition 1,3,"This occupancy condition shall include buildings in which all persons receiving custodial care who, without any assistance, are capable of responding to an emergency situation to complete building evacuation."
3.308,Section 308 Institutional Group I,308.2.2,308.2.2 Condition 2,3,This occupancy condition shall include buildings in which there are any persons receiving custodial care who require limited verbal or physical assistance while responding to an emergency situation to complete building evacuation.
3.308,Section 308 Institutional Group I,308.2.3,308.2.3 Six to 16 Persons Receiving Custodial Care,3,A facility housing not fewer than six and not more than 16 persons receiving custodial care shall be classified as Group R-4.
3.308,Section 308 Institutional Group I,308.2.4,308.2.4 Five or Fewer Persons Receiving Custodial Care,3,A facility with five or fewer persons receiving custodial care shall be classified as Group R-3 or shall comply with the International Residential Code provided an automatic sprinkler system is installed in accordance with Section 903.3.1.3 of this code or Section P2904 of the International Residential Code.
3.308,Section 308 Institutional Group I,308.3,308.3 Institutional Group I-2,2,"Institutional Group I-2 occupancy shall include buildings and structures used for medical care on a 24-hour basis for more than five persons who are incapable of self-preservation. This group shall include, but not be limited to, the following:Foster care facilitiesDetoxification facilitiesHospitalsNursing homesPsychiatric hospitals"
